Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
597,597,458,704,379,921,1892,1996,1630,588,401
598,598,507,721,396,1098,2846,2411,1567,400,435
599,599,519,540,325,1294,3497,2870,1628,511,389
600,600,400,560,319,1054,2693,1877,1311,350,279
601,601,410,644,330,808,1787,1792,1412,448,370
602,602,461,620,311,899,2808,1836,1221,322,314
603,603,454,737,403,951,2110,1792,1268,296,259
604,604,572,818,460,898,1652,1797,1581,312,233
605,605,501,589,334,1521,3019,1935,1231,339,393
606,606,500,800,442,1061,2529,1946,1543,419,393
607,607,441,533,241,965,3425,1785,1141,371,238
608,608,377,501,213,764,2690,1777,1030,344,252
609,609,561,725,388,826,2299,2223,1443,460,377
610,610,331,370,191,1236,4072,1709,821,273,252
611,611,479,685,366,858,2931,1775,1276,393,283
612,612,354,441,216,750,2203,1236,961,323,295
613,613,498,621,331,839,2771,2109,1316,369,249
614,614,533,647,214,654,2555,1873,978,411,248
615,615,440,516,261,745,3196,1950,1162,340,311
616,616,553,788,362,1121,3190,2502,1427,360,393
617,617,507,655,363,834,2021,1878,1335,326,219
618,618,778,785,306,813,2825,2240,1171,427,378
619,619,618,838,532,943,1755,1885,1374,377,302
620,620,712,963,468,719,2077,2248,1539,576,424
621,621,578,718,373,748,2677,2350,1227,419,342
622,622,661,828,385,657,2205,2138,1337,421,301
623,623,741,1013,395,765,2060,2469,1454,421,326
624,624,552,782,299,821,3010,2501,1363,539,410
625,625,692,835,413,651,1654,2247,1542,595,539
626,626,720,1050,493,738,1324,1969,1220,411,356
627,627,929,1166,426,1052,3710,3425,1786,503,405
628,628,587,788,375,571,1377,2057,1282,388,261
629,629,649,707,315,679,1979,2100,1594,515,456
630,630,492,777,358,724,1290,1811,1338,431,477
631,631,690,848,471,1504,3183,2486,1290,336,232
632,632,566,949,436,974,1848,1801,1257,313,252
633,633,594,802,381,1277,2089,2229,1133,297,270
634,634,568,637,306,1467,2504,2172,1186,389,249
635,635,512,654,292,1094,2069,1933,1308,432,313
636,636,520,619,303,718,1691,1902,1250,414,323
637,637,545,571,210,915,2249,2193,1021,320,245
638,638,409,493,206,450,1339,1841,1002,421,439
639,639,638,806,345,909,1960,2026,1313,327,223
640,640,403,500,260,820,1554,1803,1155,422,260
641,641,1064,1040,413,1452,4125,3273,1602,468,470
642,642,591,768,333,716,1555,2370,1303,441,395
643,643,555,550,255,839,1280,1789,1121,374,376
644,644,582,687,219,472,1130,1977,1077,352,297
645,645,521,712,309,534,1162,1918,1241,490,370
646,646,625,606,272,658,1688,2168,1276,339,296
647,647,527,570,313,613,1079,1639,1154,276,262
648,648,665,746,281,637,1636,2428,1300,440,341
649,649,1002,872,342,898,1807,2468,1520,368,392
650,650,632,913,324,549,1653,2249,1292,500,322
651,651,612,800,392,876,1100,2062,1667,458,437
652,652,646,766,362,727,1344,2156,1626,610,471
653,653,614,770,292,567,1464,2328,1257,386,377
654,654,489,670,310,799,1004,1668,1433,487,417
655,655,475,742,418,700,906,1529,1214,306,346
656,656,591,833,321,708,1487,2052,1268,478,368
657,657,562,766,327,672,1379,1956,1109,352,328
658,658,580,942,503,744,1052,2045,1600,542,462
659,659,564,992,565,1024,1126,1938,1518,551,453
660,660,482,621,307,591,984,1417,1131,361,385
661,661,588,800,386,662,1310,2085,1414,503,436
662,662,609,896,370,686,1086,1685,1247,366,272
663,663,568,722,307,720,1427,2120,1367,501,462
664,664,753,785,299,618,1231,2019,1133,426,273
665,665,208,460,256,380,347,1013,1110,643,614
666,666,458,606,256,577,1415,1779,997,399,306
